མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
གནོད་སྦྱིན་སྡེ་དཔོན་ཆེན་པོ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་ཅན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,102,2,1,《པེ་》,༄༅། །གནོད་སྦྱིན་གྱི་སྡེ་དཔོན་ཆེན་པོ་ཕྱག་ན་རྡོ་རྗེ་བསྒྲུབ་པའི་ཐབས་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅི། 
,,3,2,《པེ་》,pཔ།,,,,,,
,,4,3,《པེ་》,འཕངས།,,,,,,
,103,5,1,《པེ་》,སྐྱེད།,,,,,,
,104,6,1,《པེ་》,mབྱམས་པ་སྙིང་རྗེ་དགའ་བ་བཏང་སྙོམས།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད)
,105,7,1,《པེ་》,།།,,,,,,
,106,8,1,《པེ་》,། །,,,,,,
,,9,2,《པེ་》,། །,,,,,,
,,10,3,《པེ་》,སྦུམ།,,,,,,
,,11,4,《པེ་》,མཇུག,,,,,,
,107,12,1,《པེ་》,བ།,,,,,,
,,13,2,《པེ་》,བསམ།,,,,,,
,108,14,1,《པེ་》,mསོར་ཉེར་གཅིག་པ།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད)
,109,15,1,《པེ་》,མའི།,,,,,,
,,16,2,《པེ་》,mཀྱི།,,,,,,
,,17,3,《པེ་》,རྗེར།,
,,18,4,《པེ་》,བསྟན།,
,110,19,1,《པེ་》,བསམ།,
,,20,2,《པེ་》,mཐམས།,
,,21,3,《པེ་》,གགས།,
,,22,4,《པེ་》,པ།,
