D1115,ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་བསྟོད་པ
D1118,ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ
D1119,དཔེ་མེད་པར་བསྟོད་པ
D1120,འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ
D1121,སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ
D1122,དོན་དམ་པར་བསྟོད་པ
D1123,སྐུ་གསུམ་ལ་བསྟོད་པ
D1124,སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ
D1125,སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ
D1127,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་བསྟོད་པ
D1128,བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ
D1129,བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ
D1130,བླ་ན་མེད་པའི་བསྟོད་པ
D1131,འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ
D1132,རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ
D1133,གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ
D1134,གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ
D1135,མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ
D1136,ཕྱག་འཚལ་བའི་བསྟོད་པ
D1137,དམྱལ་བ་ནས་འདོན་པ
D1146,དཀོན་མཆོག་གསུམ་གྱི་བསྟོད་པ
D1150,སྤེལ་མར་བསྟོད་པ
D1156,ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ
D1157,ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུར་བྱས་པ
D1158,སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ
D1162,བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་དཔལ་རྡོ་རྗེ་འཛིན་གྱི་དབྱངས
D1163,བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་དཔལ་རྡོ་རྗེ་འཛིན་གྱི་དབྱངས་ཀྱི་རྒྱ་ཆེར་བཤད་པ
D1166,དེ་བཞིན་གཤེགས་པ་བརྒྱད་ལ་བསྟོད་པ
D1191,རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད
D1206,དགོངས་པའི་འགྲེལ་སྐད་ཀྱི་འགྲེལ་པ
D1268,དཔལ་དགྱེས་པ་རྡོ་རྗེའི་སྒྲུབ་ཐབས་རིན་པོ་ཆེའི་སྒྲོན་མ
D1286,གཏོར་མའི་ཆོ་ག
D1307,བདག་མེད་མ་ལྷ་མོ་བཅོ་ལྔ་ལ་བསྟོད་པ
D1316,ཀྱེའི་རྡོ་རྗེ་ལས་བྱུང་བའི་ཀུ་རུ་ཀུལླེའི་མན་ངག་ཆེན་པོ་ལྔ
D1324,རྡོ་རྗེ་སྒྲོལ་མའི་སྒྲུབ་ཐབས
D1328,རོ་བསྲེག་པའི་ཆོག
D1340,རིམ་པ་ལྔ་པ
D1442,དཔལ་རྡོ་རྗེ་མཁའ་འགྲོའི་བསྟོད་པ་རྒྱུན་ཆགས
D1464,དཔའ་བོ་གཅིག་པའི་སྒྲུབ་ཐབས
D1490,མངོན་པར་རྟོགས་པ་རྣམ་པར་འབྱེད་པ
D1491,དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས
D1492,བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ
D1494,རྡོ་རྗེེ་གདན་གྱི་རྡོ་རྗེའི་གླུ
D1495,རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུའི་འགྲེལ་པ
D1496,སྤྱོད་པའི་གླུ
D1497,སྤྱོད་པའི་གླུའི་འགྲེལ་པ
D1502,སྦྱིན་སྲེག་གི་ཆོ་ག
D1550,དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས
D1557,རིགས་ལྡན་མའི་དེ་ཁོ་ན་ཉིད་ངེས་པ
D1558,རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས
D1571,རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་པའི་ཐབས
D1587,རྡོ་རྗེ་རྣལ་འབྱོར་མ་ལ་བསྟོད་པ
D1591,རིན་པོ་ཆེ་རྒྱན་གྱི་སྒྲུབ་པ
D1594,རྡོ་རྗེ་རྣལ་འབྱོར་མ་ལ་བསྟོད་པ
D1609,མཆན་ཁུང་གི་སྦྱོང་བ
D1610,རྣལ་འབྱོར་གྱི་རྒྱུད་དཔལ་གདན་བཞི་པའི་སྒྲུབ་ཐབས
D1612,ཡེ་ཤེས་དབང་ཕྱུག་མའི་སྒྲུབ་ཐབས
D1613,རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་སྙིང་པོ་མདོར་བསགས་པ
D1614,དཔལ་གདན་བཞི་པའི་ཟབ་དོན་སྟོན་པ་ཤིང་གཅིག་གི་དཀའ་འགྲེལ
